Review_Text,Review_ID,Product_Name,Star_Rating,Date,Verified_Purchase,Cleaned_Text,ML_Sentiment,ML_Confidence,Polarity,Subjectivity,Sentiment,Sentiment_Confidence,Is_Relevant,Review_Category,Relevance_Weight,Product_Topics,Service_Topics,Tone,Detected_Aspects,Aspect_Sentiments,Aspect_Polarities,Is_Anomalous,Anomaly_Reason,Anomaly_Weight,Effective_Weight,Weighted_Score,Product_Health_Score,Final_Recommendation
The phone camera is excellent and the battery lasts all day,1,Sample Product,5,2026-08-10,True,phone camera excellent battery last day,Positive,0.4746,1.0,1.0,Positive,1.0,True,PRODUCT,1.0,"battery, camera, phone",,Satisfied,"Battery, Camera","{""Battery"": ""Positive"", ""Camera"": ""Positive""}","{""Battery"": 1.0, ""Camera"": 1.0}",False,,1.0,1.0,100.0,70.71,BUY
This laptop is fast lightweight and perfect for college work,2,Sample Product,5,2026-08-10,True,laptop fast lightweight perfect college work,Positive,0.4914,0.6,0.8,Positive,0.8099999999999999,True,PRODUCT,1.0,laptop,,Satisfied,"Performance, Comfort","{""Performance"": ""Positive"", ""Comfort"": ""Positive""}","{""Performance"": 0.6, ""Comfort"": 0.6}",False,,1.0,1.0,80.0,70.71,BUY
Amazing headphones with clear sound and comfortable design,3,Sample Product,5,2026-08-10,True,amazing headphone clear sound comfortable design,Positive,0.4918,0.375,0.6208333333333333,Positive,0.6931250000000001,True,PRODUCT,1.0,"comfort, design, headphone, phone, sound",,Excited,"Design, Audio, Comfort","{""Design"": ""Positive"", ""Audio"": ""Positive"", ""Comfort"": ""Positive""}","{""Design"": 0.375, ""Audio"": 0.375, ""Comfort"": 0.375}",False,,1.0,1.0,68.75,70.71,BUY
The smartwatch looks stylish and works very smoothly,4,Sample Product,5,2026-08-10,True,smartwatch look stylish work smoothly,Positive,0.4984,0.51,0.825,Positive,0.77775,True,OTHER,1.0,,,Satisfied,Design,"{""Design"": ""Positive""}","{""Design"": 0.51}",False,,1.0,1.0,75.5,70.71,BUY
I love this product it is worth every rupee,5,Sample Product,5,2026-08-10,True,love product worth every rupee,Positive,0.4967,0.4,0.35,Positive,0.6625000000000001,True,PRODUCT,1.0,product,,Happy,,{},{},False,,1.0,1.0,70.0,70.71,BUY
The delivery was quick and the packaging was very good,6,Sample Product,5,2026-08-10,True,delivery quick packaging good,Positive,0.4984,0.6216666666666666,0.6400000000000001,Positive,0.7946666666666666,False,DELIVERY | PACKAGING,0.1,,"delivery, packaging",Satisfied,"Delivery, Packaging","{""Delivery"": ""Positive"", ""Packaging"": ""Positive""}","{""Delivery"": 0.6217, ""Packaging"": 0.6217}",False,,1.0,0.1,8.11,70.71,BUY
The screen quality is bright and the colors are beautiful,7,Sample Product,5,2026-08-10,True,screen quality bright color beautiful,Positive,0.4788,0.775,0.8999999999999999,Positive,0.895,True,PRODUCT,1.0,"quality, screen",,Satisfied,"Display, Build Quality","{""Display"": ""Positive"", ""Build Quality"": ""Positive""}","{""Display"": 0.775, ""Build Quality"": 0.775}",False,,1.0,1.0,88.75,70.71,BUY
This is the best charger I have used so far,8,Sample Product,5,2026-08-10,True,best charger used far,Positive,0.5212,0.55,0.65,Positive,0.7675000000000001,True,OTHER,1.0,,,Satisfied,Battery,"{""Battery"": ""Positive""}","{""Battery"": 0.55}",False,,1.0,1.0,77.5,70.71,BUY
The product is average and works as expected,9,Sample Product,3,2026-08-10,True,product average work expected,Neutral,0.557,-0.125,0.4,Negative,0.56,True,PRODUCT,1.0,product,,Disappointed,,{},{},False,,1.0,1.0,43.75,70.71,BUY
It is okay not great but not bad either,10,Sample Product,3,2026-08-10,True,okay great bad either,Neutral,0.4824,0.14999999999999997,0.6388888888888888,Positive,0.6058333333333333,True,OTHER,1.0,,,Happy,,{},{},False,,1.0,1.0,57.5,70.71,BUY
