review,sentiment
The phone camera is excellent and the battery lasts all day,Positive
This laptop is fast lightweight and perfect for college work,Positive
Amazing headphones with clear sound and comfortable design,Positive
The smartwatch looks stylish and works very smoothly,Positive
I love this product it is worth every rupee,Positive
The delivery was quick and the packaging was very good,Positive
The screen quality is bright and the colors are beautiful,Positive
This is the best charger I have used so far,Positive
The product is average and works as expected,Neutral
It is okay not great but not bad either,Neutral
The item is fine for basic use,Neutral
The quality is decent for the price,Neutral
The product arrived today and I have just started using it,Neutral
The features are normal and the performance is acceptable,Neutral
It does the job but nothing special,Neutral
The product is usable but I need more time to judge it,Neutral
The phone stopped working after two days,Negative
Very poor quality and totally disappointing,Negative
The battery drains too fast and the device heats up,Negative
I received a damaged product and customer support was bad,Negative
Worst purchase ever I want a refund,Negative
The sound quality is terrible and the build feels cheap,Negative
The product is slow expensive and not reliable,Negative
I am unhappy because the item broke within a week,Negative
best product,Positive
loved it,positive
very nice,positive
average,neutral
great purchase,positive
nice product,positive
terrific purchase,positive
bad,Negative
,Negative
